TripDate,Destination,Material,Weight
5/11/15,WASTE MSW,TRASH,0.80
5/13/15,SSL MSW,TRASH,0.61
5/14/15,WASTE MSW,TRASH,0.71
5/15/15,WASTE MSW,TRASH,1.40
5/18/15,WASTE MSW,TRASH,1.11
5/19/15,WASTE MSW,TRASH,2.52
5/20/15,WASTE MSW,TRASH,0.80
5/20/15,SSL MSW,TRASH,0.19
5/21/15,WASTE MSW,TRASH,0.04
5/22/15,SSL MSW,TRASH,0.30
5/25/15,WASTE MSW,TRASH,0.55
5/27/15,SSL MSW,TRASH,0.05
5/27/15,WASTE MSW,TRASH,0.99
5/29/15,WASTE MSW,TRASH,0.51
6/3/15,ROCKY MTN,SINGLE STR,1.06
6/5/15,ROCKY MTN,SINGLE STR,0.50
6/8/15,ROCKY MTN,SINGLE STR,1.30
6/10/15,ROCKY MTN,SINGLE STR,0.46
6/15/15,ROCKY MTN,SINGLE STR,0.80
6/17/15,ROCKY MTN,SINGLE STR,0.15
6/22/15,ROCKY MTN,SINGLE STR,0.35
6/24/15,ROCKY MTN,SINGLE STR,0.29
6/26/15,ROCKY MTN,SINGLE STR,0.44
6/1/15,WASTE MSW,TRASH,1.81
6/3/15,WASTE MSW,TRASH,2.34
6/3/15,WASTE MSW,TRASH,0.90
6/5/15,WASTE MSW,TRASH,1.86
6/8/15,WASTE MSW,TRASH,1.77
6/10/15,WASTE MSW,TRASH,0.24
6/10/15,WASTE MSW,TRASH,0.67
6/12/15,WASTE MSW,TRASH,1.17
6/15/15,ACE INTERM,TRASH,0.87
6/17/15,WASTE MSW,TRASH,1.08
6/17/15,WASTE MSW,TRASH,0.91
6/19/15,WASTE MSW,TRASH,2.05
6/24/15,ACE INTERM,TRASH,2.26
6/26/15,WASTE MSW,TRASH,1.04
6/26/15,WASTE MSW,TRASH,0.31
6/29/15,ACE INTERM,TRASH,0.70
7/1/15,ROCKY MTN,SINGLE STR,0.50
7/3/15,ROCKY MTN,SINGLE STR,0.23
7/9/15,ROCKY MTN,SINGLE STR,1.79
7/17/15,ROCKY MTN,SINGLE STR,1.18
7/28/15,ROCKY MTN,SINGLE STR,1.37
7/1/15,ACE INTERM,TRASH,1.12
7/1/15,ACE INTERM,TRASH,0.62
7/3/15,ACE INTERM,TRASH,0.40
7/9/15,WASTE MSW,TRASH,2.63
7/15/15,ACE INTERM,TRASH,2.56
7/15/15,ACE INTERM,TRASH,1.47
7/21/15,WASTE MSW,TRASH,1.00
7/21/15,ACE INTERM,TRASH,1.81
7/24/15,ACE INTERM,TRASH,0.95
7/28/15,ACE INTERM,TRASH,0.88
7/28/15,ACE INTERM,TRASH,0.54
7/31/15,ACE INTERM,TRASH,1.21
8/18/15,Rocky Mtn.,Cardboard,0.85
8/4/15,ROCKY MTN,SINGLE STR,0.73
8/11/15,ROCKY MTN,SINGLE STR,0.73
8/18/15,ROCKY MTN,SINGLE STR,1.08
8/19/15,Rocky Mtn.,SINGLE STR,0.31
8/21/15,ROCKY MTN,SINGLE STR,0.44
8/24/15,ROCKY MTN,SINGLE STR,0.63
8/26/15,ROCKY MTN,SINGLE STR,1.23
8/28/15,ROCKY MTN,SINGLE STR,0.39
8/31/15,ROCKY MTN,SINGLE STR,0.16
8/4/15,ACE INTERM,TRASH,1.01
8/4/15,ACE INTERM,TRASH,1.15
8/7/15,ACE INTERM,TRASH,1.37
8/10/15,ACE INTERM,TRASH,0.28
8/12/15,SSL MSW,TRASH,0.13
8/14/15,WASTE MSW,TRASH,0.56
8/14/15,WASTE MSW,TRASH,0.97
8/17/15,ACE INTERM,TRASH,1.32
8/18/15,ACE INTERM,TRASH,0.58
8/18/15,ACE INTERM,TRASH,0.86
8/19/15,ACE INTERM,TRASH,1.75
8/21/15,SSL MSW,TRASH,0.41
8/21/15,SSL MSW,TRASH,0.62
8/24/15,SSL MSW,TRASH,0.54
8/25/15,ACE INTERM,TRASH,0.86
8/26/15,ACE INTERM,TRASH,1.52
8/28/15,ACE INTERM,TRASH,0.87
8/28/15,ACE INTERM,TRASH,1.21
8/31/15,ACE INTERM,TRASH,0.66
9/12/15,Rocky Mtn.,Cardboard,0.55
9/2/15,ROCKY MTN,SINGLE STR,0.62
9/4/15,ROCKY MTN,SINGLE STR,0.41
9/9/15,Rocky Mtn.,SINGLE STR,0.78
9/17/15,ROCKY MTN,SINGLE STR,0.74
9/21/15,ROCKY MTN,SINGLE STR,0.74
9/23/15,ROCKY MTN,SINGLE STR,0.43
9/28/15,ROCKY MTN,SINGLE STR,0.86
9/30/15,ROCKY MTN,SINGLE STR,0.49
9/1/15,ACE INTERM,TRASH,0.98
9/2/15,ACE INTERM,TRASH,1.27
9/4/15,ACE INTERM,TRASH,1.13
